IntrusionsBndys_FaultedBndys,IntrusionsBndys_GeologicalBndys,IntrusionsBndys_IntrusiveBndys,IntrusionsBndys_UnconformableBndys,MetamorphicBoundaries_Faults,MetamorphicBoundaries_GeologicalBndys,MetamorphicBoundaries_MetamorphicBndys,MetamorphicBoundaries_Unconformities,RockUnitBndyFaults_LAO_Faulted boundary,RockUnitBndyFaults_LAO_Geological boundary,RockUnitBndyFaults_LAO_Intrusive boundary,RockUnitBndyFaults_LAO_Unconformable boundary,MetamorphicIsograds,vs_cluster_boundaries
65997.00850136412,37169.744410356754,85568.32496907438,172853.82112737943,41769.98625279809,71763.94997338364,78235.49707173997,110118.63750972485,9905.301214092053,1427.0040604171327,85568.32496907438,110118.63750972485,36184.36802241092,181609.79310728374
4772.115170457796,4390.688314282459,57757.01723883299,143324.56949882078,28116.75955705312,24429.724657321345,30626.545485407532,26735.81873669579,4772.115170457796,4390.688314282459,47412.115210115895,26735.81873669579,2860.067991034261,193910.65318881013
78684.07645041519,60136.81364839848,353001.9328104278,196018.39642084204,18508.27281173381,64776.73167932855,61974.3883356992,104633.97598877069,18508.27281173381,7158.021482654317,353001.9328104278,92079.88178915584,49463.310906207786,85597.02962530717
7129.28993006427,3510.557656440302,154435.66135219435,2068.229154581124,47453.28100687256,47493.832457257675,15567.307507639232,57941.30766320588,36.16382356705036,585.3473318996336,150002.77989657197,2068.229154581124,7272.55665367388,11395.292442077169
112781.21720644554,59304.68666658841,558615.8720478849,320818.52047154226,38282.558058772775,154159.60328709733,7136.257688036644,388347.9717764926,38282.558058772775,15850.994952143003,341007.5432129924,320818.52047154226,57308.84512747864,1449.0553954660609
25069.169146271353,21756.482615471385,508884.9722511463,324664.003526792,7392.618448756036,22907.56554797602,32703.31649936188,245657.07615372972,120663.78534701087,124212.39170365478,490205.3914714152,245657.07615372972,32721.659854970756,10169.88688070297
74012.85906488555,73807.21017624628,101539.43322011935,373057.37273990613,2903.4747883123973,3832.879425546324,7354.772399047122,165682.02029677972,2903.474783361186,25325.505436856834,146789.8883610303,342363.84859594365,68446.7548841513,402235.06464742083
46618.5566819453,25367.537373299776,270686.14617178537,188858.77084180896,13267.13309469235,20279.041988788264,20444.90999122869,279651.313914962,2868.451051812047,595.9093515620025,122766.3002145626,188858.77084180896,46564.52494288509,259834.75686206567
8922.12805459962,2076.719152830688,48993.15408411215,77555.25760046477,14119.027148059367,15583.348504011374,11193.466520158583,51184.14126532349,6561.993154913111,935.5157676623244,48993.15408411215,51184.14126532349,1151.3695267428855,45129.4688470015
59166.04113708775,58178.641492095565,249474.7609584784,236543.8540039668,33399.41187354066,77620.29042877289,21203.225665935825,273239.5898807554,5046.5416851599175,3311.21371070987,168357.52098353527,235115.7815043452,101466.0079272486,300300.64154287
